title,runtime,des,date,rating,genre
Vertical Limit,124,"    A climber must rescue his sister on top of K2, one of the world's biggest mountains.",2000,5.9,"Action, Adventure, Drama            "
End of Watch,109,"    Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",2012,7.6,"Action, Crime, Drama            "
Kickin' It,22,    A once-in-a-generation young karate fighter named Jack joins the Wasabi warriors.,2015,6.3,"Action, Comedy, Family            "
Maze Runner: The Scorch Trials,131,"    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",2015,6.3,"Action, Sci-Fi, Thriller            "
MacGyver,48,    The adventures of a secret Agent armed with almost infinite scientific resourcefulness.,1992,7.7,"Action, Adventure, Crime            "
Brawl in Cell Block 99,132,    A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.,2017,7.1,"Action, Crime, Drama            "
RoboCop,117,"    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",2014,6.2,"Action, Crime, Sci-Fi            "
"Walker, Texas Ranger",43,    Walker and his partner Trivette are Texas Rangers. They make it their business to battle crime in Dallas and all around the Great State of Texas.,2001,5.5,"Action, Adventure, Crime            "
Allied,124,"    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",2016,7.1,"Action, Drama, Romance            "
Red Shoes and the Seven Dwarfs,92,"    Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist.",2019,6.8,"Animation, Action, Adventure            "
After Earth,100,"    A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",2013,4.8,"Action, Adventure, Drama            "
Grosse Pointe Blank,107,"    Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",1997,7.3,"Action, Comedy, Crime            "
Race to Witch Mountain,98,    A Las Vegas cabbie enlists the help of a UFO expert to protect two siblings with paranormal powers from the clutches of an organization that wants to use the kids for their nefarious plans.,2009,5.7,"Action, Adventure, Family            "
The Time Machine,96,"    Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",2002,6.0,"Action, Adventure, Sci-Fi            "
Megamind,95,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",2010,7.2,"Animation, Action, Comedy            "
Galveston,91,"    After escaping a set up, a dying hitman returns to his hometown of Galveston where he plans his revenge.",2018,6.2,"Action, Crime, Drama            "
Red Notice,91,    An Interpol agent tracks the world's most wanted art thief.,2020,0,"Action, Adventure, Comedy            "
The Croods,98,"    After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",2013,7.2,"Animation, Action, Adventure            "
The Librarians,42,"    A group of librarians sets off on adventures in an effort to save mysterious, ancient artifacts.",2018,7.2,"Action, Adventure, Comedy            "
Young Justice,23,    Teenage superheroes strive to prove themselves as members of the Justice League.,2010,8.7,"Animation, Action, Adventure            "
The Mummy Returns,130,"    The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",2001,6.3,"Action, Adventure, Fantasy            "
The Sorcerer's Apprentice,109,    Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la Fée.,2010,6.1,"Action, Adventure, Family            "
How It Ends,113,    A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.,2018,5.0,"Action, Adventure, Drama            "
The League of Extraordinary Gentlemen,110,"    In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",2003,5.8,"Action, Adventure, Fantasy            "
The Promise,133,"    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",2016,5.9,"Action, Adventure, Drama            "
Four Brothers,109,    When their adopted mother is gunned down in a store robbery the 'four brothers' investigated the murder for themselves & look for the killers but not all is what it seems.,2005,6.8,"Action, Crime, Drama            "
Rise of the Planet of the Apes,105,    A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,2011,7.6,"Action, Drama, Sci-Fi            "
Alien Resurrection,109,"    200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",1997,6.2,"Action, Horror, Sci-Fi            "
Muppet Treasure Island,99,    The Muppets' twist on the classic tale.,1996,7.0,"Action, Adventure, Comedy            "
Kung Fu Panda 2,90,"    Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",2011,7.2,"Animation, Action, Adventure            "
The Living Daylights,130,    James Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.,1987,6.7,"Action, Adventure, Thriller            "
For Your Eyes Only,127,    Agent 007 is assigned to hunt for a lost British weapons communication/control device and prevent it from falling into enemy hands.,1981,6.8,"Action, Adventure, Thriller            "
Spartacus: Gods of the Arena,331,"    In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",2011,8.5,"Action, Adventure, Biography            "
The Sum of All Fears,124,"    C.I.A. analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",2002,6.4,"Action, Drama, Thriller            "
End of Days,122,"    At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",1999,5.8,"Action, Fantasy, Horror            "
Brothers,105,    A young man comforts his older brother's wife and children after he goes missing in Afghanistan.,2009,7.1,"Action, Drama, Thriller            "
Ender's Game,114,"    Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",2013,6.6,"Action, Adventure, Fantasy            "
Total Recall,118,"    A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Recall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.",2012,6.3,"Action, Adventure, Sci-Fi            "
Lord of War,122,    An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,2005,7.6,"Action, Crime, Drama            "
Vampire Academy,104,"    Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi.",2014,5.5,"Action, Comedy, Drama            "
Dokutaa Sutoon,23,"    One fateful day, all of humanity was petrified by a blinding flash of light. After several millennia, high schooler Taiju awakens and finds himself lost in a world of statues. However, he's...                See full summary »",2019,8.3,"Animation, Action, Adventure            "
RED 2,116,    Retired C.I.A. Agent Frank Moses (Bruce Willis) reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,2013,6.6,"Action, Comedy, Crime            "
Revolution,43,"    Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.",2014,6.7,"Action, Adventure, Drama            "
Dragonball Evolution,85,"    The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",2009,2.5,"Action, Adventure, Fantasy            "
Twister,113,"    Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",1996,6.4,"Action, Adventure, Thriller            "
The Mask of Zorro,136,"    A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own.",1998,6.7,"Action, Adventure, Comedy            "
Charlie's Angels,60,"    A cat burglar, a car thief, and a dirty cop get a chance to turn their lives around; fighting crime and working for the mysterious Charlie Townsend.",2011,4.4,"Action, Adventure, Crime            "
Payback,100,"    After a successful heist, Porter is shot by his wife and his best friend. They leave him there to die but when he recovers, he seeks revenge and wants his share of the money.",1999,7.1,"Action, Crime, Drama            "
Deep Blue Sea,105,"    Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",1999,5.8,"Action, Adventure, Sci-Fi            "
The Wild Wild West,50,"    Two Secret Service Agents, equipped with a wide array of gizmos, work for the government in the Old West.",1969,8.1,"Action, Adventure, Sci-Fi            "
Smokin' Aces,108,"    When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.",2006,6.7,"Action, Crime, Drama            "
The Kill Team,87,    A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.,2019,5.9,"Action, Drama, Thriller            "
Revenge,108,"    Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men.",2017,6.3,"Action, Horror, Thriller            "
Hitman: Agent 47,96,    An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,2015,5.7,"Action, Crime, Thriller            "
How to Train Your Dragon 2,102,"    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014,7.8,"Animation, Action, Adventure            "
Kung Fury 2,102,    The story will focus on Kung Fury's universe with no real connection to the short movie other than the lead character.,0,0,"Action, Comedy, Crime            "
The Wild Bunch,135,"    An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",1969,7.9,"Action, Adventure, Western            "
Steven Universe: The Movie,82,"    Steven thinks his time defending the Earth is over, but when a new threat comes to Beach City, Steven faces his biggest challenge yet.",2019,8.0,"Animation, Action, Adventure            "
Daredevil,103,    A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,2003,5.3,"Action, Crime            "
Beowulf,115,"    The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, and later, Grendel's Mother, who begins killing out of revenge.",2007,6.2,"Animation, Action, Adventure            "
